play,author,year,subtitle,score
neuber-ein-deutsches-vorspiel,Neuber,1734,,-0.043660752952664056
pappenheim-frauenrecht,Pappenheim,1899,Schauspiel in drei Aufzügen,0.09062649123985758
pelzel-apolls-gericht-oder-das-bestrafte-vorurtheil-vindebonens,Pelzel,1769,Ein allegorisches Drama in einem Akte von einem Wiener,-0.1159586774751173
pfeffel-der-schatz,Pfeffel,1761,Ein Schäferspiel von einem Aufzuge,-0.13186555177036924
pfeffel-vorspiel-ueber-die-buergerliche-tragoedie,Pfeffel,1764,,0.08640318657452975
rache-belsazar,Raché,1904,Drama in 1 Akt,-0.14153676867090365
raimund-das-maedchen-aus-der-feenwelt,Raimund,1826,Romantisches Original-Zaubermärchen mit Gesang in drei Aufzügen,0.04631676456315279
raimund-der-alpenkoenig-und-der-menschenfeind,Raimund,1828,Romantisch-komisches Original-Zauberspiel in zwei Aufzügen,0.02528153916301656
raimund-der-diamant-des-geisterkoenigs,Raimund,1824,Zauberspiel in zwei Aufzügen,0.04466159711692818
raimund-der-verschwender,Raimund,1834,Original-Zaubermärchen in drei Aufzügen,0.0286882987515144
raimund-die-gefesselte-phantasie,Raimund,1828,Original-Zauberspiel in zwei Aufzügen,-0.06638444431825101
raimund-die-unheilbringende-zauberkrone,Raimund,1829,Tragisch-komisches Original-Zauberspiel in zwei Aufzügen,-0.0834469814338947
raimund-moisasurs-zauberfluch,Raimund,1827,Original-Zauberspiel in zwei Aufzügen,-0.09117109446236876
rambach-die-kuhpocken,Rambach,1802,Ein Familiengemälde in einem Akt,0.08536473455993547
raupach-agnes-von-hohenstaufen,Raupach,1829,Große historisch-romantische Oper in 3 Aufzügen,-0.29343090817666256
raupach-der-bettler,Raupach,1829,Schauspiel in einem Aufzuge,0.028961760377800804
raupach-der-platzregen-als-eheprokurator,Raupach,1829,Eine dramatisirte Anekdote in zwei Aufzügen,0.15081470007558756
reil-der-erste-may,Reil,1816,"Ein Frühlingsgemählde nаch wahren Vorfällen entworfen, in einem Aufzuge",-0.08132293322237082
reinick-genoveva,Reinick,1850,Oper in vier Akten,-0.14894163421070866
riese-martha,Riese,1847,Romantisch-Komische Oper in vier Aufzügen,-0.09578446925012395
rilke-ohne-gegenwart,Rilke,1898,Drama in zwei Akten,0.08624401695884973
roeber-koenig-manfred,Roeber,1867,Oper in fünf Akten,-0.25717531177537795
rosenow-die-im-schatten-leben,Rosenow,1899,Drama in vier Akten,0.16532384680566317
rubiner-die-gewaltlosen,Rubiner,1919,Drama in vier Akten,-0.0905555036367564
scheerbart-das-dumme-luder,Scheerbart,1904,Ein Jupiter-Drama,0.11310305706423274
scheerbart-das-mirakel,Scheerbart,1904,Eine dramatische Szene,0.03310759808255625
scheerbart-der-alte-petrus,Scheerbart,1904,Ein himmlisches Schauspiel,0.03112475267545396
scheerbart-der-fanatische-buergermeister,Scheerbart,1904,Kosmisches Drama in vier Akten,0.02867457680471293
scheerbart-der-regierungswechsel,Scheerbart,1897,Ein politisches Drama,0.07774251327457592
scheerbart-der-vornehme-raeuberhauptmann,Scheerbart,1904,Ein Bühnenspass in drei Aufzügen,0.19475159326661654
scheerbart-der-wetterfuerst,Scheerbart,1904,Ein Schauspiel zwischen hohen Bergen,-0.06049379888665405
scheerbart-die-lustigen-raeuber,Scheerbart,1904,Ein Schauspiel in fünf Akten,0.12378822364203404
scheerbart-die-puppe-und-die-dauerwurst,Scheerbart,1897,Ein soziales Drama,0.07089210827845396
scheerbart-die-urgrossmutter,Scheerbart,1904,Eine Tragi-Komödie in einem Aufzuge,0.03206405336291307
scheerbart-die-welt-geht-unter,Scheerbart,1904,Ein Tableau,0.14431597995554055
scheerbart-die-wurzeln-der-wohlhabenheit,Scheerbart,1904,Ein schildbürgerliches Schauspiel in fünf Akten,0.0003905683986168809
scheerbart-lachende-gespenster,Scheerbart,1904,Ein Schauspiel zwischen schwarzen Wänden in einem Aufzuge,0.07098195065035752
scheerbart-ruebezahl,Scheerbart,1904,Schauspiel in fünf Aufzügen,0.05393431083029891
schikaneder-die-zauberfloete,Schikaneder,1791,Große Oper in zwey Aufzügen,-0.0755211128435211
schiller-die-piccolomini,Schiller,1799,In fünf Aufzügen,-0.10179345062728469
schiller-die-raeuber,Schiller,1781,Ein Schauspiel,-0.10009608190231913
schiller-don-carlos-infant-von-spanien,Schiller,1787,Ein dramatisches Gedicht,-0.07498644728114513
schiller-wallensteins-lager,Schiller,1798,,-0.05842359334655245
schiller-wilhelm-tell,Schiller,1804,Schauspiel,-0.18914915706324922
schink-hanswurst-von-salzburg-mit-dem-hoelzernen-gat,Schink,1778,Historisch Schauspiel in drei Aufzügen,0.004051806600536186
schlaf-meister-oelze,Schlaf,1892,Drama in drei Aufzügen,0.2597481545774797
schlegel-jon,Schlegel,1802,Schauspiel in fünf Aufzügen,-0.18682326338532504
schmetzer-deutschland-und-seine-feinde,Schmetzer,1915,Ein Bühnenfestspiel für unsere Zeit des Kampfes und Sieges,-0.1373464758086317
schnitzer-der-zigeunerbaron,Schnitzer,1885,Operette in 3 Acten,-0.09201852814029017
schnitzler-anatol,Schnitzler,1893,,0.10028106027641527
schnitzler-anatols-groessenwahn,Schnitzler,1891,,0.11347980377728666
