play,genre,noble,servant
tieck-der-abschied,tragedy,0.0,0.0
tieck-die-theegesellschaft,comedy,0.0,0.1
tieck-karl-von-berneck,tragedy,0.0,0.15789473684210525
tieck-leben-und-tod-der-heiligen-genoveva,tragedy,0.029411764705882353,0.14705882352941177
tieck-prinz-zerbino,comedy,0.056,0.056
toerring-agnes-bernauerin,tragedy,0.037037037037037035,0.07407407407407407
treitschke-das-bauerngut,comedy,0.0,0.0
uhland-ernst-herzog-von-schwaben,tragedy,0.14285714285714285,0.0
vanoni-der-friseur,comedy,0.3,0.0
vischer-faust,tragedy,0.0,0.029411764705882353
voss-die-tapetenwand,comedy,0.2,0.0
voss-faust,tragedy,0.027777777777777776,0.0
wagner-die-kindermoerderin,tragedy,0.0,0.21428571428571427
waldvogl-die-falschen-banknoten,tragedy,0.0,0.0
wedekind-die-buechse-der-pandora,tragedy,0.043478260869565216,0.0
wedekind-erdgeist,tragedy,0.0,0.0
wedekind-fritz-schwigerling,comedy,0.2,0.0
wedekind-fruehlings-erwachen,tragedy,0.0,0.0
weise-masaniello,tragedy,0.0,0.0
weisse-atreus-und-thyest,tragedy,0.0,0.0
weissenthurn-das-manuscript,comedy,0.0,0.13333333333333333
weissenthurn-welche-ist-die-braut,comedy,0.09523809523809523,0.0
weissenthurn-welcher-ist-der-braeutigam,comedy,0.0,0.0
werner-der-vierundzwanzigste-februar,tragedy,0.0,0.0
wezel-der-erste-dank,comedy,0.0,0.0
wezel-der-graf-von-wickham,tragedy,0.5,0.0
wezel-die-falsche-vergiftung,comedy,0.16666666666666666,0.0
widmann-maikaefer-komoedie,comedy,0.075,0.025
wieland-lady-johanna-gray,tragedy,0.0,0.0
wilbrandt-gracchus-der-volkstribun,tragedy,0.0,0.0
wildenbruch-die-karolinger,tragedy,0.15151515151515152,0.06060606060606061
wildgans-armut,tragedy,0.0,0.0
wildgans-dies-irae,tragedy,0.0,0.0
zedlitz-cabinets-intriguen,comedy,0.0,0.0
zedlitz-herr-und-sklave,tragedy,0.0,0.14285714285714285
zedlitz-liebe-findet-ihre-wege,comedy,0.0,0.0
